left_input,right_input,time,delta_time
0.000000,0.000000,1304304714.351416,0.050477
0.000000,0.000000,1304304714.412106,0.060689
0.000000,0.000000,1304304714.462515,0.050410
0.000000,0.000000,1304304714.512874,0.050359
0.000000,0.000000,1304304714.563316,0.050442
0.000000,0.000000,1304304714.633896,0.070580
0.000000,0.000000,1304304714.684312,0.050416
0.000000,0.000000,1304304714.744925,0.060613
0.000000,0.000000,1304304714.795317,0.050392
0.000000,0.000000,1304304714.845692,0.050375
0.000000,0.000000,1304304714.906229,0.060537
0.000000,0.000000,1304304714.956567,0.050337
0.000000,0.000000,1304304715.007051,0.050485
0.000000,0.000000,1304304715.067627,0.060576
0.000000,0.000000,1304304715.127985,0.060358
0.000000,0.000000,1304304715.178536,0.050551
0.000000,0.000000,1304304715.239017,0.060480
0.000000,0.000000,1304304715.299429,0.060413
0.000000,0.000000,1304304715.349933,0.050504
0.000000,0.000000,1304304715.410468,0.060535
0.000000,0.000000,1304304715.471042,0.060574
0.000000,0.000000,1304304715.521414,0.050371
0.000000,0.000000,1304304715.582017,0.060604
0.000000,0.000000,1304304715.652559,0.070541
0.000000,0.000000,1304304715.702930,0.050372
0.000000,0.104771,1304304715.763425,0.060495
0.000000,0.000000,1304304715.824000,0.060575
0.000000,0.110997,1304304715.874459,0.050458
0.119566,0.119566,1304304715.934763,0.060305
0.120905,0.120905,1304304715.985230,0.050467
0.344263,0.229509,1304304716.035660,0.050429
0.449132,0.336849,1304304716.096093,0.060434
0.525319,0.420255,1304304716.156648,0.060555
0.782658,0.447233,1304304716.207144,0.050495
0.448986,0.673479,1304304716.267699,0.060555
0.674007,0.674007,1304304716.297971,0.030272
0.671240,0.894987,1304304716.348302,0.050332
0.677193,0.902924,1304304716.408893,0.060591
1.010000,1.010000,1304304716.459440,0.050546
1.231826,1.007857,1304304716.519871,0.060432
1.217733,1.107030,1304304716.570292,0.050420
1.361021,1.020766,1304304716.630583,0.060291
1.354485,1.128737,1304304716.690979,0.060396
1.455759,1.231796,1304304716.741401,0.050423
1.472376,1.367206,1304304716.801946,0.060545
1.452569,1.452569,1304304716.862437,0.060490
1.354837,1.459055,1304304716.922997,0.060560
1.346635,1.458854,1304304716.973511,0.050514
1.349555,1.349555,1304304717.003717,0.030207
1.326923,1.548076,1304304717.034034,0.030316
1.010225,1.212270,1304304717.064414,0.030380
1.230958,1.333538,1304304717.125002,0.060589
1.272999,1.352561,1304304717.205617,0.080615
1.344562,1.344562,1304304717.256018,0.050401
1.232448,1.344489,1304304717.316573,0.060555
1.230954,1.230954,1304304717.367040,0.050467
1.235995,1.235995,1304304717.427445,0.060405
1.234064,1.346251,1304304717.477676,0.050231
1.343271,1.455211,1304304717.538033,0.060356
